"id","issue_title","task_content","acceptance_criteria","project_progress","file_path","prd_link","tech_link","commit_message"
"T015","实现 BulkView 多选交互","在 BulkView.ts 中实现多选交互逻辑：支持 Ctrl+Click 切换选择、Shift+Click 区间选择（两者均不进入单张浏览）；Click（无修饰键）保持原有“点击进入单张浏览”行为且不改变选择","1. Ctrl+Click 切换选中状态（不进入单张浏览）
2. Shift+Click 从 lastAnchorPath 到当前项做区间选择（不进入单张浏览）
3. Click（无修饰键）保持原行为（进入单张浏览），且不改变选择
4. 选中状态有视觉反馈（overlay/checkbox）
5. 交互逻辑不破坏现有 Bulk View 的点击进入单张浏览行为","已完成","Www/ts/MainWindow/BulkView.ts","docs/specs/26011009-copy-to-directory/prd.md#核心功能","docs/specs/26011009-copy-to-directory/TECHNICAL_APPROACH.md#62-交互规则建议便于实现且符合用户预期","feat: 实现 BulkView 多选交互"
"T016","在 BulkView 添加获取选中路径接口","在 BulkView.ts 中添加 getSelectedPaths 与 getSelectedPathsOrFallbackCurrent 方法：前者仅返回 selectedPaths，后者在未选中时回退到当前项路径","1. getSelectedPaths 方法已实现
2. 选中数量 > 0 时返回 selectedPaths
3. 选中数量 = 0 时返回空数组
4. getSelectedPathsOrFallbackCurrent 方法已实现
5. 选中数量 > 0 时返回 selectedPaths
6. 选中数量 = 0 时返回当前项路径
7. 当前项定义为聚焦项或最后点击项
8. 方法签名清晰，易于调用","已完成","Www/ts/MainWindow/BulkView.ts","docs/specs/26011009-copy-to-directory/prd.md#核心功能","docs/specs/26011009-copy-to-directory/TECHNICAL_APPROACH.md#63-对外接口","feat: 在 BulkView 添加获取选中路径接口"
"T017","在 BulkView 添加清空选择接口","在 BulkView.ts 中添加 clearSelection 方法，清空所有选中状态，重置 lastAnchorPath","1. clearSelection 方法已实现
2. 清空 selectedPaths Set
3. 重置 lastAnchorPath 为 undefined
4. 清除视觉选中状态（overlay/checkbox）
5. 方法签名清晰，易于调用","已完成","Www/ts/MainWindow/BulkView.ts","docs/specs/26011009-copy-to-directory/prd.md#核心功能","docs/specs/26011009-copy-to-directory/TECHNICAL_APPROACH.md#63-对外接口","feat: 在 BulkView 添加清空选择接口"
"T026","Bulk View：ESC 优先清空选择","在 Www/ts/MainWindow/Hotkey.ts 的 Bulk View 分支中调整 ESC 行为：若 BulkView 存在已选择项则先 clearSelection（不退出 Bulk View）；否则沿用现有 ESC 退出 Bulk View","1. Bulk View 模式下按 ESC：若存在选择则只清空选择，不退出 Bulk View
2. Bulk View 模式下按 ESC：若不存在选择则退出 Bulk View（保持现有行为）
3. clearSelection 调用后选中态视觉反馈同步清除
4. 不影响其它 Bulk View 快捷键行为","已完成","Www/ts/MainWindow/Hotkey.ts","docs/specs/26011009-copy-to-directory/prd.md#核心功能","docs/specs/26011009-copy-to-directory/TECHNICAL_APPROACH.md#62-交互规则建议便于实现且符合用户预期","feat: BulkView ESC 优先清空选择"
"T018","在 Tiefseeview 新增变换检测方法","在 Www/ts/Tiefseeview.ts 中新增 hasTransformations 方法，检测当前图片是否存在旋转、镜像、缩放等需要保存的变换","1. hasTransformations 方法已实现
2. 检测旋转角度（getDeg() % 360 !== 0）
3. 检测水平镜像（getMirrorHorizontal()）
4. 检测垂直镜像（getMirrorVertica()）
5. 检测缩放比例（Math.abs(getZoomRatio() - 1) >= 0.05）
6. 返回 boolean 表示是否存在需要保存的变换","未开始","Www/ts/Tiefseeview.ts","docs/specs/26011009-copy-to-directory/prd.md#边缘情况处理","docs/specs/26011009-copy-to-directory/TECHNICAL_APPROACH.md#431-需要保存的判定建议","feat: 在 Tiefseeview 新增变换检测方法"
"T019","在 Tiefseeview 新增带变换导出 API","在 Www/ts/Tiefseeview.ts 中新增 getTransformedCanvasBlob 方法，导出带旋转、镜像、缩放变换的 Canvas Blob，支持 PNG 格式","1. getTransformedCanvasBlob 方法已实现
2. 从原始像素 canvas 取源图
3. 按当前变换（旋转/镜像/缩放）绘制到新 canvas
4. 输出 PNG 格式的 Blob
5. 支持可选参数（如格式、质量）
6. 大图导出时有内存限制和错误处理","未开始","Www/ts/Tiefseeview.ts","docs/specs/26011009-copy-to-directory/prd.md#边缘情况处理","docs/specs/26011009-copy-to-directory/TECHNICAL_APPROACH.md#432-导出实现选型优先可维护性-复用","feat: 在 Tiefseeview 新增带变换导出 API"
"T020","实现变换检测与保存确认逻辑","在 ScriptCopy 类中实现 resolveCopySourcePath 方法，检测图片是否存在变换，根据配置弹出确认对话框，用户确认后导出临时文件","1. resolveCopySourcePath 方法已实现
2. 使用 Tiefseeview.hasTransformations 检测变换
3. 根据 requireSaveWhenTransformed 配置决定是否提示
4. 弹出确认对话框（使用 msg.copyToDirNeedSaveConfirm）
5. 用户确认后调用 getTransformedCanvasBlob 导出
6. 使用 WV_File.Base64ToTempFile 保存临时文件
7. 临时文件命名格式为 {baseName}_saved_{yyyyMMdd_HHmmss_fff}.png
8. 返回临时文件路径作为复制源
9. 用户取消时返回原文件路径","未开始","Www/ts/MainWindow/Script.ts","docs/specs/26011009-copy-to-directory/prd.md#边缘情况处理","docs/specs/26011009-copy-to-directory/TECHNICAL_APPROACH.md#43-变换检测与保存后复制","feat: 实现变换检测与保存确认逻辑"
"T021","集成复制到目录完整流程","集成所有组件，完成复制到目录功能的完整流程，包括配置检查、源路径获取、变换检测、目标目录验证、文件复制、结果反馈","1. 普通浏览模式下按快捷键可复制当前图片
2. Bulk View 模式下支持多选并批量复制
3. 图片存在旋转/缩放变更时弹出保存确认
4. Toast 成功提示包含目标目录与最终文件名
5. Toast 失败提示包含失败原因
6. 批量复制显示成功/失败数量
7. 功能可通过配置完全禁用
8. 快捷键响应延迟 < 50ms
9. 文件复制操作在 100ms 内开始执行
10. 复制操作不导致 UI 卡顿","未开始","Www/ts/MainWindow/Script.ts","docs/specs/26011009-copy-to-directory/prd.md#验收标准","docs/specs/26011009-copy-to-directory/TECHNICAL_APPROACH.md#4-关键流程端到端","feat: 集成复制到目录完整流程"
"T022","边缘情况处理与测试","处理各种边缘情况，包括目标目录不存在、目标目录不可写、同名文件冲突、磁盘空间不足、网络路径延迟、大文件复制、源文件被占用、路径包含特殊字符等","1. 目标目录不存在时根据配置自动创建或提示错误
2. 目标目录不可写时显示明确错误信息
3. 同名文件冲突时根据配置正确处理（覆盖/重命名/跳过）
4. 磁盘空间不足时提前检测并提示
5. 网络路径正常工作
6. 大文件复制不阻塞 UI
7. 源文件被占用时显示错误提示
8. 路径包含特殊字符（中文、空格等）正常工作
9. 所有边缘情况都有明确的错误提示","未开始","Www/ts/MainWindow/Script.ts","docs/specs/26011009-copy-to-directory/prd.md#边缘情况处理","docs/specs/26011009-copy-to-directory/TECHNICAL_APPROACH.md#4-关键流程端到端","feat: 边缘情况处理与测试"
"T023","（可选）Shortcut 回归测试覆盖","为 Shortcut 模块补充可回归测试覆盖（前置：为 Www 侧补最小可运行的测试命令/脚手架），覆盖 normalizeShortcut、match、isConflict 等方法","1. 存在可在本仓库本地运行的测试命令（不要求引入重型框架）
2. 测试覆盖 normalizeShortcut 的规范化行为
3. 测试覆盖 match 对 KeyboardEvent 的匹配
4. 测试覆盖 isConflict 的冲突检测
5. 覆盖单键与组合键场景（大小写、空格等输入兼容性）
6. 测试可稳定通过且可重复运行","未开始","Www/ts/Shortcut.ts","docs/specs/26011009-copy-to-directory/prd.md#验收标准","docs/specs/26011009-copy-to-directory/TECHNICAL_APPROACH.md#7-可测试性落地不依赖-uihost-的核心逻辑","feat: Shortcut 模块单元测试"
"T024","（可选）时间戳重命名回归测试覆盖","为时间戳重命名逻辑补充可回归测试覆盖（前置：为 Www 侧补最小可运行的测试命令/脚手架），确保时间戳格式正确、冲突递增 _1/_2 规则正确","1. 存在可在本仓库本地运行的测试命令（不要求引入重型框架）
2. 覆盖时间戳格式 yyyyMMdd_HHmmss_fff
3. 覆盖目标文件不存在时的命名
4. 覆盖目标文件存在时追加时间戳
5. 覆盖时间戳后仍冲突时追加 _1/_2...
6. 覆盖不同扩展名的处理
7. 测试可稳定通过且可重复运行","未开始","Www/ts/MainWindow/Script.ts","docs/specs/26011009-copy-to-directory/prd.md#验收标准","docs/specs/26011009-copy-to-directory/TECHNICAL_APPROACH.md#7-可测试性落地不依赖-uihost-的核心逻辑","feat: 时间戳重命名逻辑单元测试"
"T025","集成测试与端到端验证","进行集成测试和端到端验证，确保复制到目录功能在各种场景下正常工作，包括普通模式、Bulk View 多选、变换检测、边缘情况等","1. 普通浏览模式下复制当前图片成功
2. Bulk View 模式下多选并批量复制成功
3. 图片存在旋转/缩放变更时弹出保存确认并复制保存后的内容
4. 目标目录不存在时根据配置自动创建
5. 同名文件冲突时根据配置正确处理
6. 网络路径正常工作
7. 大文件复制不阻塞 UI
8. 所有验收标准满足
9. 性能指标满足要求（快捷键响应 < 50ms，复制开始 < 100ms）","未开始","","docs/specs/26011009-copy-to-directory/prd.md#验收标准","docs/specs/26011009-copy-to-directory/TECHNICAL_APPROACH.md#8-交付拆分低风险可回滚","feat: 集成测试与端到端验证"
